loc,cyclomatic_complexity,num_functions,num_files_changed,issue_id,project_name,era,real_issue_type,defect_prone_strict
824,4.029411764705882,34,1,HADOOP-476,HADOOP,pre_ai,Bug,1
2310,3.4671052631578947,152,1,HADOOP-1009,HADOOP,pre_ai,Bug,1
397,2.5238095238095237,42,1,HADOOP-973,HADOOP,pre_ai,Bug,1
3020,2.9869565217391303,230,3,HADOOP-923,HADOOP,pre_ai,Bug,1
541,3.9310344827586206,29,1,HADOOP-649,HADOOP,pre_ai,Bug,1
470,3.6129032258064515,31,1,HADOOP-943,HADOOP,pre_ai,Improvement,0
111,2.875,8,1,HADOOP-1017,HADOOP,pre_ai,Improvement,0
3556,3.048507462686567,268,5,HADOOP-803,HADOOP,pre_ai,Bug,1
475,3.6666666666666665,27,1,HADOOP-1025,HADOOP,pre_ai,Improvement,0
4506,2.62089552238806,335,10,HADOOP-867,HADOOP,pre_ai,Improvement,0
1358,2.908256880733945,109,2,HADOOP-990,HADOOP,pre_ai,Bug,1
1229,2.1404958677685952,121,11,HADOOP-997,HADOOP,pre_ai,Improvement,0
1113,3.6964285714285716,56,3,HADOOP-564,HADOOP,pre_ai,Bug,1
914,1.990566037735849,106,2,HADOOP-654,HADOOP,pre_ai,Bug,1
3371,2.6706827309236947,249,9,HADOOP-248,HADOOP,pre_ai,Improvement,0
274,2.9375,16,3,HADOOP-1029,HADOOP,pre_ai,Bug,1
6710,2.9130434782608696,506,13,HADOOP-985,HADOOP,pre_ai,Improvement,0
901,3.702127659574468,47,1,HADOOP-1034,HADOOP,pre_ai,Bug,1
558,3.606060606060606,33,1,HADOOP-878,HADOOP,pre_ai,Bug,1
171,1.5555555555555556,18,1,HADOOP-1040,HADOOP,pre_ai,Improvement,0
2612,2.305439330543933,239,3,HADOOP-1027,HADOOP,pre_ai,Bug,1
1189,3.260869565217391,69,1,HADOOP-1036,HADOOP,pre_ai,Bug,1
542,3.84,25,1,HADOOP-1042,HADOOP,pre_ai,Improvement,0
2850,3.4947916666666665,192,2,HADOOP-972,HADOOP,pre_ai,Improvement,0
548,3.92,25,1,HADOOP-1043,HADOOP,pre_ai,Improvement,0
2637,3.2568306010928962,183,2,HADOOP-940,HADOOP,pre_ai,Improvement,0
166,3.1,20,1,HADOOP-1020,HADOOP,pre_ai,Bug,1
5970,2.3839662447257384,474,20,HADOOP-492,HADOOP,pre_ai,New Feature,0
1901,3.042372881355932,118,4,HADOOP-1000,HADOOP,pre_ai,Bug,1
406,2.5952380952380953,42,1,HADOOP-1046,HADOOP,pre_ai,Bug,1
3634,2.2706270627062706,303,11,HADOOP-1041,HADOOP,pre_ai,Improvement,0
704,3.5555555555555554,45,2,HADOOP-1032,HADOOP,pre_ai,New Feature,0
389,2.642857142857143,28,1,HADOOP-1049,HADOOP,pre_ai,Bug,1
2959,3.0497737556561084,221,2,HADOOP-1056,HADOOP,pre_ai,Bug,1
3483,1.8585607940446651,403,38,HADOOP-941,HADOOP,pre_ai,Improvement,0
2508,3.4518072289156625,166,1,HADOOP-994,HADOOP,pre_ai,Bug,1
1214,3.316326530612245,98,3,HADOOP-432,HADOOP,pre_ai,Improvement,0
9192,2.558139534883721,817,35,HADOOP-1035,HADOOP,pre_ai,Bug,1
9192,2.558139534883721,817,35,HADOOP-1053,HADOOP,pre_ai,Improvement,0
9192,2.558139534883721,817,35,HADOOP-1067,HADOOP,pre_ai,Bug,1
9192,2.558139534883721,817,35,HADOOP-1060,HADOOP,pre_ai,Bug,1
9192,2.558139534883721,817,35,HADOOP-1077,HADOOP,pre_ai,Bug,1
9192,2.558139534883721,817,35,HADOOP-1083,HADOOP,pre_ai,Bug,1
9192,2.558139534883721,817,35,HADOOP-1082,HADOOP,pre_ai,Bug,1
9192,2.558139534883721,817,35,HADOOP-1088,HADOOP,pre_ai,Bug,1
9192,2.558139534883721,817,35,HADOOP-1080,HADOOP,pre_ai,Bug,1
9192,2.558139534883721,817,35,HADOOP-1091,HADOOP,pre_ai,Bug,1
9192,2.558139534883721,817,35,HADOOP-1092,HADOOP,pre_ai,Bug,1
9192,2.558139534883721,817,35,HADOOP-1112,HADOOP,pre_ai,Bug,1
9192,2.558139534883721,817,35,HADOOP-1108,HADOOP,pre_ai,Bug,1
9192,2.558139534883721,817,35,HADOOP-1070,HADOOP,pre_ai,Bug,1
9192,2.558139534883721,817,35,HADOOP-1099,HADOOP,pre_ai,Bug,1
9192,2.558139534883721,817,35,HADOOP-1115,HADOOP,pre_ai,Bug,1
9192,2.558139534883721,817,35,HADOOP-1109,HADOOP,pre_ai,Bug,1
9192,2.558139534883721,817,35,HADOOP-1117,HADOOP,pre_ai,Bug,1
9192,2.558139534883721,817,35,HADOOP-1089,HADOOP,pre_ai,Bug,1
9192,2.558139534883721,817,35,HADOOP-1096,HADOOP,pre_ai,Improvement,0
9192,2.558139534883721,817,35,HADOOP-1128,HADOOP,pre_ai,Bug,1
9192,2.558139534883721,817,35,HADOOP-1129,HADOOP,pre_ai,Bug,1
9192,2.558139534883721,817,35,HADOOP-1126,HADOOP,pre_ai,Bug,1
3954,3.045936395759717,283,5,HADOOP-1145,HADOOP,pre_ai,Bug,1
3954,3.045936395759717,283,5,HADOOP-1135,HADOOP,pre_ai,Bug,1
3954,3.045936395759717,283,5,HADOOP-1140,HADOOP,pre_ai,Bug,1
3954,3.045936395759717,283,5,HADOOP-1150,HADOOP,pre_ai,Bug,1
1119,3.0,76,1,HADOOP-1071,HADOOP,pre_ai,Bug,1
2523,3.461077844311377,167,1,HADOOP-1047,HADOOP,pre_ai,Bug,1
139,2.3636363636363638,11,1,HADOOP-1137,HADOOP,pre_ai,Bug,1
976,2.986111111111111,72,1,HADOOP-1064,HADOOP,pre_ai,Bug,1
175,1.0,47,3,HADOOP-1094,HADOOP,pre_ai,Improvement,0
2532,3.467065868263473,167,1,HADOOP-1068,HADOOP,pre_ai,Improvement,0
2533,3.4730538922155687,167,1,HADOOP-1122,HADOOP,pre_ai,Bug,1
417,2.4761904761904763,42,1,HADOOP-1131,HADOOP,pre_ai,Improvement,0
599,2.02,50,9,HADOOP-1120,HADOOP,pre_ai,New Feature,0
3580,3.4285714285714284,231,3,HADOOP-1153,HADOOP,pre_ai,Bug,1
6051,3.0234192037470726,427,6,HADOOP-1085,HADOOP,pre_ai,Bug,1
114,1.894736842105263,19,1,HADOOP-1162,HADOOP,pre_ai,Bug,1
675,2.72,50,1,HADOOP-192,HADOOP,pre_ai,Bug,1
3629,3.011764705882353,255,10,HADOOP-189,HADOOP,pre_ai,New Feature,0
343,2.090909090909091,33,3,HADOOP-198,HADOOP,pre_ai,Improvement,0
3913,3.1796875,256,7,HADOOP-96,HADOOP,pre_ai,Improvement,0
2568,2.765853658536585,205,8,HADOOP-182,HADOOP,pre_ai,Bug,1
666,2.795918367346939,49,1,HADOOP-199,HADOOP,pre_ai,Bug,1
188,3.25,16,1,HADOOP-201,HADOOP,pre_ai,Bug,1
137,3.0,9,1,HADOOP-207,HADOOP,pre_ai,Bug,1
349,1.5098039215686274,51,5,HADOOP-204,HADOOP,pre_ai,Improvement,0
3926,2.4444444444444446,378,37,HADOOP-65,HADOOP,pre_ai,New Feature,0
223,4.0,8,1,HADOOP-209,HADOOP,pre_ai,New Feature,0
671,3.1538461538461537,52,3,HADOOP-208,HADOOP,pre_ai,Improvement,0
1120,3.4225352112676055,71,2,HADOOP-146,HADOOP,pre_ai,Bug,1
773,2.328125,64,2,HADOOP-180,HADOOP,pre_ai,Bug,1
646,2.2222222222222223,63,1,HADOOP-219,HADOOP,pre_ai,Bug,1
2614,2.4549763033175354,211,11,HADOOP-200,HADOOP,pre_ai,Bug,1
261,2.2962962962962963,27,1,HADOOP-218,HADOOP,pre_ai,Improvement,0
79,1.2666666666666666,15,1,HADOOP-161,HADOOP,pre_ai,Bug,1
690,1.3392857142857142,112,4,HADOOP-115,HADOOP,pre_ai,New Feature,0
