loc,cyclomatic_complexity,num_functions,num_files_changed,issue_id,project_name,era,issue_type,defect_prone
93,1.7692307692307692,13,1,KAFKA-15206,KAFKA,ai_era,Test,0
866,2.4583333333333335,48,1,KAFKA-19229,KAFKA,ai_era,Test,0
131,2.875,8,1,KAFKA-6430,KAFKA,pre_ai,Improvement,0
534,3.16,25,1,KAFKA-919,KAFKA,pre_ai,Bug,1
921,2.898550724637681,69,2,KAFKA-5700,KAFKA,pre_ai,Bug,1
788,2.979591836734694,49,1,KAFKA-17506,KAFKA,ai_era,Bug,1
797,5.926829268292683,41,1,KAFKA-10220,KAFKA,pre_ai,Bug,1
3119,3.6867469879518073,166,7,KAFKA-2841,KAFKA,pre_ai,Bug,1
2182,2.320855614973262,187,2,KAFKA-6789,KAFKA,pre_ai,Improvement,0
836,5.8,15,2,KAFKA-19716,KAFKA,ai_era,Bug,1
548,3.3714285714285714,35,1,KAFKA-3950,KAFKA,pre_ai,Bug,1
130,3.3333333333333335,6,1,KAFKA-83,KAFKA,pre_ai,Bug,1
1016,2.712121212121212,66,2,KAFKA-3605,KAFKA,pre_ai,Bug,1
32,4.5,2,1,KAFKA-3407,KAFKA,pre_ai,Improvement,0
1593,2.9902912621359223,103,1,KAFKA-17801,KAFKA,ai_era,Bug,1
931,2.2266666666666666,75,1,KAFKA-17470,KAFKA,ai_era,Bug,1
563,1.2173913043478262,46,1,KAFKA-19102,KAFKA,ai_era,Improvement,0
501,1.92,25,5,KAFKA-713,KAFKA,pre_ai,Bug,1
281,4.25,12,1,KAFKA-5210,KAFKA,pre_ai,Improvement,0
5051,2.756849315068493,292,6,KAFKA-19078,KAFKA,ai_era,Sub-task,0
2346,3.392857142857143,112,1,KAFKA-16367,KAFKA,ai_era,Sub-task,0
4123,2.37109375,256,7,KAFKA-20877,KAFKA,ai_era,Bug,1
1585,1.9885057471264367,174,5,KAFKA-4423,KAFKA,pre_ai,Task,0
388,2.68,25,2,KAFKA-7902,KAFKA,pre_ai,Bug,1
2387,2.6262626262626263,198,9,KAFKA-43,KAFKA,pre_ai,Bug,1
1838,4.30379746835443,79,2,KAFKA-13614,KAFKA,pre_ai,Bug,1
315,1.829268292682927,41,2,KAFKA-20415,KAFKA,ai_era,Sub-task,0
943,4.2894736842105265,38,3,KAFKA-16206,KAFKA,ai_era,Bug,1
4031,2.337313432835821,335,5,KAFKA-6986,KAFKA,pre_ai,Improvement,0
11603,3.2041116005873715,681,17,KAFKA-14568,KAFKA,ai_era,Sub-task,0
184,2.5,8,1,KAFKA-14780,KAFKA,ai_era,Improvement,0
2083,3.0902255639097747,133,4,KAFKA-18014,KAFKA,ai_era,Sub-task,0
4755,3.1149068322981366,322,7,KAFKA-5355,KAFKA,pre_ai,Sub-task,0
1785,2.832116788321168,137,4,KAFKA-6366,KAFKA,pre_ai,Bug,1
1590,2.7142857142857144,98,2,KAFKA-18542,KAFKA,ai_era,Sub-task,0
276,2.3666666666666667,30,2,KAFKA-3045,KAFKA,pre_ai,Improvement,0
3126,1.9550561797752808,267,8,KAFKA-15890,KAFKA,ai_era,Bug,1
1406,1.5660377358490567,159,3,KAFKA-10628,KAFKA,pre_ai,Task,0
4162,2.996875,320,6,KAFKA-8617,KAFKA,pre_ai,Sub-task,0
1002,2.4025974025974026,77,1,KAFKA-15283,KAFKA,ai_era,Sub-task,0
584,2.7567567567567566,37,2,KAFKA-18046,KAFKA,ai_era,Improvement,0
148,1.375,16,2,KAFKA-6451,KAFKA,pre_ai,Bug,1
741,1.578125,64,2,KAFKA-3581,KAFKA,pre_ai,Bug,1
118,2.7142857142857144,7,1,KAFKA-418,KAFKA,pre_ai,Bug,1
2146,2.5759493670886076,158,12,KAFKA-3196,KAFKA,pre_ai,Improvement,0
3001,2.9121621621621623,148,6,KAFKA-9821,KAFKA,pre_ai,Bug,1
1835,2.122448979591837,147,12,KAFKA-15107,KAFKA,ai_era,Improvement,0
219,2.0625,16,1,KAFKA-18790,KAFKA,ai_era,Test,0
1236,3.4461538461538463,65,2,KAFKA-8333,KAFKA,pre_ai,Improvement,0
2983,2.9224137931034484,232,3,KAFKA-15767,KAFKA,ai_era,Improvement,0
1043,2.019607843137255,51,4,KAFKA-10366,KAFKA,pre_ai,Bug,1
2328,2.4426877470355732,253,4,KAFKA-17150,KAFKA,ai_era,Bug,1
129,2.272727272727273,11,1,KAFKA-18243,KAFKA,ai_era,Sub-task,0
455,2.6666666666666665,42,1,KAFKA-8715,KAFKA,pre_ai,Bug,1
4606,2.4125,320,9,KAFKA-15213,KAFKA,ai_era,Improvement,0
912,2.9545454545454546,44,1,KAFKA-18281,KAFKA,ai_era,Bug,1
7607,2.5632183908045976,522,7,KAFKA-14121,KAFKA,ai_era,New Feature,0
4549,3.630841121495327,214,4,KAFKA-19439,KAFKA,ai_era,Bug,1
