issue_id,num_reassignments
HADOOP-9307,0.0
CAMEL-15646,1.0
CAMEL-1405,1.0
CAMEL-9514,0.0
HADOOP-8064,3.0
HADOOP-4220,1.0
HADOOP-10710,1.0
CAMEL-8193,1.0
CAMEL-1600,0.0
CAMEL-11751,3.0
CAMEL-899,1.0
HADOOP-15866,1.0
HADOOP-10954,0.0
HADOOP-14317,0.0
CAMEL-16770,0.0
CAMEL-15682,1.0
CAMEL-2571,0.0
CAMEL-14321,1.0
CAMEL-24374,1.0
CAMEL-14746,1.0
CAMEL-4704,1.0
HADOOP-3961,1.0
CAMEL-1589,1.0
HADOOP-19925,0.0
CAMEL-20043,0.0
HADOOP-7375,0.0
HADOOP-13119,2.0
CAMEL-3689,0.0
CAMEL-17780,1.0
CAMEL-352,0.0
HADOOP-16557,1.0
CAMEL-426,0.0
CAMEL-3078,1.0
HADOOP-10477,0.0
HADOOP-17801,0.0
CAMEL-21618,0.0
HADOOP-16961,1.0
HADOOP-6110,1.0
HADOOP-9355,1.0
CAMEL-23462,0.0
CAMEL-1909,2.0
HADOOP-14775,2.0
HADOOP-16035,1.0
CAMEL-508,1.0
CAMEL-23156,0.0
HADOOP-14615,1.0
HADOOP-2027,1.0
HADOOP-8819,0.0
CAMEL-4044,3.0
CAMEL-1825,1.0
HADOOP-15537,1.0
CAMEL-8692,0.0
CAMEL-16358,0.0
HADOOP-2819,1.0
CAMEL-1602,0.0
HADOOP-9868,0.0
HADOOP-2869,0.0
HADOOP-918,1.0
CAMEL-1212,1.0
CAMEL-6220,0.0
HADOOP-16897,1.0
HADOOP-16162,1.0
HADOOP-11973,1.0
CAMEL-22994,1.0
CAMEL-18873,0.0
CAMEL-23029,0.0
CAMEL-11187,1.0
CAMEL-9853,0.0
CAMEL-18206,0.0
CAMEL-2514,1.0
CAMEL-3696,1.0
CAMEL-16472,0.0
CAMEL-12408,1.0
CAMEL-21219,0.0
CAMEL-9249,1.0
HADOOP-4284,1.0
HADOOP-11465,0.0
HADOOP-6904,0.0
CAMEL-17098,0.0
CAMEL-1853,0.0
CAMEL-13408,1.0
CAMEL-995,0.0
CAMEL-13915,1.0
CAMEL-13535,0.0
HADOOP-1286,1.0
HADOOP-5048,1.0
CAMEL-13064,0.0
HADOOP-8040,2.0
HADOOP-19824,0.0
HADOOP-4825,0.0
CAMEL-6388,1.0
CAMEL-14327,0.0
CAMEL-11432,3.0
HADOOP-5737,1.0
CAMEL-15974,1.0
CAMEL-8846,0.0
CAMEL-24194,0.0
HADOOP-14533,1.0
CAMEL-3687,1.0
CAMEL-2008,1.0
CAMEL-15097,1.0
CAMEL-17029,0.0
CAMEL-18027,1.0
HADOOP-11194,1.0
CAMEL-13183,1.0
HADOOP-18661,0.0
CAMEL-21264,0.0
HADOOP-17610,0.0
CAMEL-19250,1.0
CAMEL-15398,1.0
HADOOP-16985,1.0
CAMEL-22706,0.0
HADOOP-4354,0.0
CAMEL-11577,0.0
CAMEL-20117,0.0
CAMEL-6776,0.0
CAMEL-8479,0.0
CAMEL-3995,0.0
CAMEL-23673,0.0
HADOOP-2894,0.0
CAMEL-20073,0.0
CAMEL-3018,1.0
