loc,cyclomatic_complexity,num_functions,num_files_changed,token_count,project_name,era,defect_prone
7504,2.1466666666666665,600,9,47531,HADOOP,ai_era,1
429,5.111111111111111,18,2,3355,CAMEL,pre_ai,1
83,3.2,5,1,635,CAMEL,pre_ai,1
10236,2.335235378031384,701,20,66464,HADOOP,ai_era,1
198,2.272727272727273,22,1,1131,CAMEL,ai_era,1
1010,2.4456521739130435,92,1,6460,HADOOP,ai_era,1
165,1.0869565217391304,23,2,1065,CAMEL,ai_era,1
197,2.769230769230769,13,1,1315,HADOOP,pre_ai,1
58,1.0,12,1,294,CAMEL,pre_ai,1
69,1.2,10,2,506,CAMEL,pre_ai,1
562,2.033333333333333,30,4,3659,HADOOP,pre_ai,1
75,6.0,3,1,573,CAMEL,pre_ai,1
35,1.0,6,1,214,CAMEL,pre_ai,1
306,2.32,25,2,2196,CAMEL,ai_era,1
116,1.75,8,1,871,HADOOP,pre_ai,1
933,1.3043478260869563,138,5,5624,CAMEL,ai_era,1
327,3.0476190476190474,21,2,2563,CAMEL,ai_era,1
44,2.0,4,1,336,HADOOP,pre_ai,1
16074,2.2379182156133828,1614,42,112487,CAMEL,ai_era,1
419,2.097560975609756,41,2,3476,CAMEL,pre_ai,1
1150,1.8613138686131387,137,1,7138,HADOOP,pre_ai,1
272,1.1272727272727272,55,1,1453,CAMEL,ai_era,1
99,1.3333333333333333,15,1,655,CAMEL,ai_era,1
21,1.0,1,1,216,CAMEL,ai_era,1
1263,2.9166666666666665,84,1,8288,HADOOP,pre_ai,1
3589,3.218340611353712,229,6,22812,HADOOP,pre_ai,1
1909,2.4150943396226414,159,12,13916,CAMEL,ai_era,1
578,1.7804878048780488,82,1,3393,CAMEL,pre_ai,1
296,2.888888888888889,18,1,2144,HADOOP,pre_ai,1
559,3.6052631578947367,38,2,4259,CAMEL,pre_ai,1
333,2.4347826086956523,23,1,2216,HADOOP,ai_era,1
106,1.0454545454545454,22,1,681,HADOOP,ai_era,1
112,5.2,5,1,926,CAMEL,ai_era,1
835,2.011111111111111,90,1,5911,CAMEL,ai_era,1
272,1.1272727272727272,55,1,1453,CAMEL,pre_ai,1
545,1.8115942028985508,69,1,3783,CAMEL,pre_ai,1
118,2.0,11,1,891,CAMEL,pre_ai,1
82,2.0,7,1,575,HADOOP,pre_ai,1
142,1.7142857142857142,21,1,1070,CAMEL,ai_era,1
4092,2.7444089456869007,313,5,27995,HADOOP,ai_era,1
136,3.4,5,1,1059,HADOOP,ai_era,1
493,3.1666666666666665,30,1,3761,CAMEL,ai_era,1
1600,2.435483870967742,124,12,10382,CAMEL,ai_era,1
1163,1.9722222222222223,144,7,7843,CAMEL,pre_ai,1
217,1.4,30,1,1501,CAMEL,pre_ai,1
463,2.571428571428572,42,3,3690,CAMEL,pre_ai,1
174,3.363636363636364,11,1,2120,CAMEL,pre_ai,1
142,2.6666666666666665,9,1,1073,CAMEL,ai_era,1
1550,6.288461538461538,52,5,13444,CAMEL,ai_era,1
159,4.444444444444445,9,1,1308,CAMEL,ai_era,1
71,3.1666666666666665,6,1,452,CAMEL,ai_era,1
15203,3.047268907563025,952,29,102239,HADOOP,ai_era,1
1499,1.3866666666666667,225,1,7121,CAMEL,ai_era,1
89,1.7,10,1,647,CAMEL,pre_ai,1
197,3.875,8,1,1639,CAMEL,pre_ai,1
472,4.625,16,1,3435,HADOOP,ai_era,1
757,2.0806451612903225,62,4,4256,HADOOP,pre_ai,1
2282,3.389830508474576,118,5,16382,HADOOP,ai_era,1
756,3.9565217391304346,69,2,5251,CAMEL,pre_ai,1
1316,2.4056603773584904,106,2,9442,HADOOP,pre_ai,1
218,2.6,15,1,1506,HADOOP,ai_era,1
383,2.577777777777778,45,3,2421,CAMEL,pre_ai,1
2005,5.6117647058823525,85,3,14511,CAMEL,ai_era,1
338,5.5,16,1,2654,CAMEL,ai_era,1
1504,7.113207547169812,53,1,11324,CAMEL,ai_era,1
689,1.893333333333333,75,1,4541,HADOOP,ai_era,1
809,3.346938775510204,49,1,5639,HADOOP,pre_ai,1
1145,5.714285714285714,49,2,8651,CAMEL,ai_era,1
589,4.52,25,2,5125,CAMEL,pre_ai,1
136,3.4285714285714284,7,1,1008,CAMEL,pre_ai,1
195,2.4375,16,1,1280,HADOOP,pre_ai,1
2986,1.7457142857142858,350,4,18820,HADOOP,ai_era,1
687,2.425925925925926,54,3,4844,HADOOP,ai_era,1
1373,4.609375,64,5,10646,CAMEL,ai_era,1
2246,2.5924170616113744,211,1,14941,HADOOP,pre_ai,1
69,5.0,3,1,603,CAMEL,pre_ai,1
2866,2.437246963562753,247,1,17971,HADOOP,ai_era,1
63,2.5,4,1,430,HADOOP,pre_ai,1
246,1.8421052631578947,19,1,1735,CAMEL,pre_ai,1
568,2.263157894736842,38,2,4564,CAMEL,pre_ai,1
1739,2.2065217391304346,184,3,11829,CAMEL,pre_ai,1
23,1.0,5,1,138,CAMEL,ai_era,1
555,3.7222222222222223,36,2,3698,CAMEL,ai_era,1
5550,2.694078947368421,304,7,39752,HADOOP,ai_era,1
64,2.0,7,1,472,CAMEL,ai_era,1
1012,1.9264705882352944,136,2,6913,HADOOP,pre_ai,1
213,1.7777777777777777,18,2,1777,CAMEL,pre_ai,1
373,3.642857142857143,28,6,2858,HADOOP,ai_era,1
297,1.1956521739130437,46,3,2037,CAMEL,ai_era,1
295,11.333333333333334,6,1,2553,CAMEL,pre_ai,1
4721,2.2258823529411766,425,36,30905,HADOOP,ai_era,1
6426,1.9463087248322148,745,13,43693,HADOOP,pre_ai,1
326,2.090909090909091,22,1,2053,HADOOP,pre_ai,1
1721,4.546511627906977,86,2,12437,CAMEL,ai_era,1
1114,1.215568862275449,167,4,6668,HADOOP,ai_era,1
225,1.7777777777777777,27,1,1468,CAMEL,ai_era,1
649,1.8727272727272728,55,2,4399,HADOOP,pre_ai,1
691,1.7875,80,6,4558,HADOOP,pre_ai,1
501,6.0,21,1,3784,CAMEL,ai_era,1
89,5.0,3,1,658,CAMEL,ai_era,1
789,3.414634146341464,41,1,4877,HADOOP,ai_era,1
244,1.5,10,2,2833,CAMEL,ai_era,1
549,2.340909090909091,44,2,3663,HADOOP,pre_ai,1
728,3.1785714285714284,56,4,4780,CAMEL,pre_ai,1
159,1.1153846153846154,26,1,881,HADOOP,ai_era,1
966,2.811320754716981,53,7,8049,CAMEL,ai_era,1
8445,1.9958960328317372,731,23,52676,HADOOP,ai_era,1
377,3.2857142857142856,21,3,3526,CAMEL,pre_ai,1
97,2.857142857142857,7,1,724,CAMEL,pre_ai,1
1279,2.463636363636364,110,2,7860,HADOOP,pre_ai,1
757,3.590909090909091,44,1,4754,HADOOP,pre_ai,1
31,1.5,4,1,160,HADOOP,pre_ai,1
62,2.75,4,1,490,CAMEL,pre_ai,1
999,2.492063492063492,63,1,6962,HADOOP,ai_era,1
1612,3.4871794871794872,117,4,11166,CAMEL,ai_era,1
552,1.6923076923076923,78,2,3107,CAMEL,pre_ai,1
182,1.0,28,4,922,CAMEL,ai_era,1
