loc,cyclomatic_complexity,num_functions,num_files_changed,issue_id,project_name,era,issue_type,defect_prone
285,3.5714285714285716,14,2,TIKA-3331,TIKA,pre_ai,Bug,1
356,2.375,24,1,TIKA-2106,TIKA,pre_ai,Bug,1
264,3.466666666666667,15,1,TIKA-4221,TIKA,ai_era,Task,0
173,4.428571428571429,7,1,TIKA-2232,TIKA,pre_ai,New Feature,0
303,3.5217391304347827,23,1,TIKA-1252,TIKA,pre_ai,Bug,1
449,4.619047619047619,21,1,TIKA-2479,TIKA,pre_ai,Bug,1
235,3.5454545454545454,11,2,TIKA-4631,TIKA,ai_era,Task,0
1082,5.294117647058823,51,1,TIKA-4734,TIKA,ai_era,Bug,1
787,7.045454545454546,22,4,TIKA-1879,TIKA,pre_ai,Improvement,0
1611,3.1868131868131866,91,5,TIKA-3441,TIKA,pre_ai,Bug,1
123,1.0,34,1,TIKA-4790,TIKA,ai_era,Task,0
212,4.6,10,1,TIKA-4432,TIKA,ai_era,Bug,1
1881,4.266666666666667,90,7,TIKA-4751,TIKA,ai_era,Task,0
8128,2.07823613086771,703,111,TIKA-4543,TIKA,ai_era,Task,0
191,3.5555555555555554,9,2,TIKA-1854,TIKA,pre_ai,Improvement,0
284,2.3636363636363638,22,1,TIKA-4213,TIKA,ai_era,New Feature,0
2069,3.5185185185185186,135,6,TIKA-4651,TIKA,ai_era,Task,0
47,2.5,2,1,TIKA-326,TIKA,pre_ai,Bug,1
278,1.763157894736842,38,1,TIKA-3164,TIKA,pre_ai,Task,0
1712,3.705263157894737,95,8,TIKA-2386,TIKA,pre_ai,Improvement,0
230,11.6,5,1,TIKA-2127,TIKA,pre_ai,Bug,1
418,2.3793103448275863,29,1,TIKA-2509,TIKA,pre_ai,Bug,1
238,5.8,10,1,TIKA-4518,TIKA,ai_era,Task,0
688,1.8695652173913044,69,8,TIKA-4571,TIKA,ai_era,Task,0
113,2.5714285714285716,7,1,TIKA-413,TIKA,pre_ai,Improvement,0
79,2.142857142857143,7,1,TIKA-4452,TIKA,ai_era,Improvement,0
807,3.5675675675675675,37,2,TIKA-4721,TIKA,ai_era,Bug,1
762,3.1403508771929824,57,4,TIKA-2330,TIKA,pre_ai,Improvement,0
88,3.0,2,1,TIKA-1272,TIKA,pre_ai,Bug,1
57,4.666666666666667,3,1,TIKA-4387,TIKA,ai_era,Task,0
41,9.0,1,1,TIKA-1011,TIKA,pre_ai,Bug,1
312,3.608695652173913,23,1,TIKA-1341,TIKA,pre_ai,Bug,1
1130,3.4242424242424243,66,8,TIKA-840,TIKA,pre_ai,Improvement,0
835,3.3157894736842106,57,3,TIKA-1571,TIKA,pre_ai,Improvement,0
230,4.7272727272727275,11,1,TIKA-739,TIKA,pre_ai,Bug,1
