issue_id,num_reassignments
CAMEL-137,0
CAMEL-153,0
CAMEL-134,0
CAMEL-100,0
CAMEL-151,0
CAMEL-150,1
CAMEL-146,0
CAMEL-120,0
CAMEL-133,0
CAMEL-135,0
CAMEL-154,2
CAMEL-148,0
CAMEL-147,0
CAMEL-156,0
CAMEL-158,0
CAMEL-163,0
CAMEL-160,0
CAMEL-155,0
CAMEL-157,1
CAMEL-161,0
CAMEL-1,1
CAMEL-128,0
CAMEL-142,0
CAMEL-152,0
CAMEL-10,3
CAMEL-141,0
CAMEL-140,0
CAMEL-139,0
CAMEL-167,0
CAMEL-168,0
CAMEL-149,0
CAMEL-117,0
CAMEL-121,0
CAMEL-119,0
CAMEL-162,0
CAMEL-175,0
CAMEL-166,0
CAMEL-165,0
CAMEL-138,0
CAMEL-20,1
CAMEL-45,1
CAMEL-181,0
CAMEL-178,0
CAMEL-176,0
CAMEL-191,0
CAMEL-187,0
CAMEL-143,0
CAMEL-169,0
CAMEL-183,0
CAMEL-196,0
CAMEL-192,0
CAMEL-198,0
CAMEL-204,0
CAMEL-205,0
CAMEL-197,0
CAMEL-206,0
CAMEL-202,2
CAMEL-213,0
CAMEL-210,2
CAMEL-211,0
CAMEL-180,0
CAMEL-193,0
CAMEL-215,0
CAMEL-194,0
CAMEL-189,0
CAMEL-219,0
CAMEL-218,0
CAMEL-221,0
CAMEL-225,0
CAMEL-222,0
CAMEL-216,0
CAMEL-226,0
CAMEL-199,0
CAMEL-203,0
CAMEL-220,0
CAMEL-230,0
CAMEL-233,0
CAMEL-224,0
CAMEL-229,0
CAMEL-231,0
CAMEL-237,1
CAMEL-232,1
CAMEL-238,0
CAMEL-240,0
CAMEL-236,0
CAMEL-164,0
CAMEL-242,0
CAMEL-212,0
CAMEL-243,0
CAMEL-248,0
CAMEL-247,0
CAMEL-245,0
CAMEL-253,0
CAMEL-250,0
CAMEL-190,0
CAMEL-184,0
CAMEL-256,0
CAMEL-255,0
CAMEL-2,0
CAMEL-249,2
CAMEL-207,0
CAMEL-3,0
CAMEL-13,0
CAMEL-17,0
CAMEL-16,0
CAMEL-15,0
CAMEL-19,0
CAMEL-21,0
CAMEL-18,0
CAMEL-22,0
CAMEL-24,0
CAMEL-23,0
CAMEL-26,0
CAMEL-27,0
CAMEL-30,0
CAMEL-31,0
CAMEL-32,0
CAMEL-33,0
CAMEL-34,0
CAMEL-35,0
CAMEL-29,0
CAMEL-37,0
CAMEL-25,0
CAMEL-28,0
CAMEL-38,0
CAMEL-39,0
CAMEL-40,0
CAMEL-41,0
CAMEL-42,0
CAMEL-44,0
CAMEL-43,0
CAMEL-55,0
CAMEL-52,1
CAMEL-50,0
CAMEL-51,0
CAMEL-56,0
CAMEL-59,0
CAMEL-60,0
CAMEL-54,0
CAMEL-61,0
CAMEL-58,0
CAMEL-57,0
CAMEL-7,1
