Inspection Type,Registration ID,Firm Names,Inspection Year,Country,Global Network,Inspection Report Date,Inspection Report Section,Finding Count,Auditing Standard,Description In The Firm's Inspection Report
Triennially Inspected,1027,"KPMG Auditores, S.L.",2024,Spain,KPMG International Cooperative,22-Dec-2025,Part I.B,1,AS 1301,"In one audit reviewed  the firm did not make a required communication to the audit committee related to the location of other persons not employed by the firm that performed audit procedures in the audit. In this instance  the firm was non-compliant with AS 1301  Communications with Audit Committees."
Triennially Inspected,1027,"KPMG Auditores, S.L.",2024,Spain,KPMG International Cooperative,22-Dec-2025,Part I.B,2,AS 2101,"In one audit reviewed  the firm did not perform procedures to determine whether all individuals who participated in the audit were in compliance with independence requirements. In this instance  the firm was non-compliant with AS 2101  Audit Planning."
Triennially Inspected,1027,"KPMG Auditores, S.L.",2024,Spain,KPMG International Cooperative,22-Dec-2025,Part I.B,3,AS 2110,"In two of three audits reviewed  the firm did not inquire of certain members of management about the risks of material misstatement  including fraud risks. In these instances  the firm was non-compliant with AS 2110  Identifying and Assessing Risks of Material Misstatement."
Triennially Inspected,1274,"BDO Limited",2025,Hong Kong,BDO International Limited,22-Dec-2025,Part I.B,1,AS 1215,"In two of three audits reviewed  the firm did not assemble a complete and final set of audit documentation for retention by the required documentation completion date. In these instances  the firm was non-compliant with AS 1215  Audit Documentation."
Triennially Inspected,1274,"BDO Limited",2025,Hong Kong,BDO International Limited,22-Dec-2025,Part I.B,2,AS 2401,"In one of three audits reviewed  the firm  when testing journal entries for evidence of possible material misstatement due to fraud  did not have an appropriate rationale for limiting its testing of entries to certain of the issuer's entities. In this instance  the firm was non-compliant with AS 2401  Consideration of Fraud in a Financial Statement Audit."
Triennially Inspected,1284,"MANCERA, S.C.",2024,Mexico,Ernst & Young Global Limited,22-Dec-2025,Part I.B,1,AS 1301,"In one audit reviewed  the firm did not make certain required communications to the audit committee related to the name  location  and planned responsibilities of an other accounting firm or other persons not employed by the firm that performed audit procedures in the audit. In these instances  the firm was non-compliant with AS 1301  Communications with Audit Committees."
Triennially Inspected,1284,"MANCERA, S.C.",2024,Mexico,Ernst & Young Global Limited,22-Dec-2025,Part I.B,2,AS 2401,"In two of three audits reviewed  the firm  when testing journal entries for evidence of possible material misstatement due to fraud  did not appropriately consider the characteristics of potentially fraudulent journal entries in determining the criteria it used to identify and select journal entries for testing. In addition  in both of these audits  the firm did not have an appropriate rationale for limiting its testing of entries it identified as having certain fraud risk characteristics to certain entries. In these instances  the firm was non-compliant with AS 2401  Consideration of Fraud in a Financial Statement Audit."
Triennially Inspected,1395,"PricewaterhouseCoopers Accountants N.V.",2024,Netherlands,PricewaterhouseCoopers International Limited,22-Dec-2025,Part I.B,1,AS 1301,"In one of two audits reviewed  the firm did not make a required communication to the audit committee related to the name  location  and planned responsibilities of other persons not employed by the firm that performed audit procedures in the audit. In this instance  the firm was non-compliant with AS 1301  Communications with Audit Committees."
Triennially Inspected,1395,"PricewaterhouseCoopers Accountants N.V.",2024,Netherlands,PricewaterhouseCoopers International Limited,22-Dec-2025,Part I.B,2,AS 3101,"In one audit  the firm's audit report (1) omitted one of the issuer's financial statements and (2) was not addressed to the shareholders. In this instance  the firm was non-compliant with AS 3101  The Auditor's Report on an Audit of Financial Statements When the Auditor Expresses an Unqualified Opinion."
Triennially Inspected,6622,"PKF Brisbane Audit",2025,Australia,,22-Dec-2025,Part I.B,1,AS 1105,"In the three audits reviewed  the firm  when testing journal entries for evidence of possible material misstatement due to fraud  did not perform procedures to determine whether the journal entry population from which it made its selections was complete. In these instances  the firm was non-compliant with AS 1105  Audit Evidence."
Triennially Inspected,6622,"PKF Brisbane Audit",2025,Australia,,22-Dec-2025,Part I.B,2,AS 1220,"In one of two audits reviewed  the engagement quality reviewer did not evaluate the engagement team's responses to certain significant risks identified. In this instance  the firm was non-compliant with AS 1220  Engagement Quality Review."
Triennially Inspected,6622,"PKF Brisbane Audit",2025,Australia,,22-Dec-2025,Part I.B,3,AS 1301,"In one of two audits reviewed  the firm did not make a required communication to the audit committee related to the name  location  and planned responsibilities of an other accounting firm that performed audit procedures in the audit. In this instance  the firm was non-compliant with AS 1301  Communications with Audit Committees."
Triennially Inspected,6622,"PKF Brisbane Audit",2025,Australia,,22-Dec-2025,Part I.B,4,AS 1301,"In one of two audits reviewed  the firm did not make a required communication to the audit committee related to corrected misstatements. In this instance  the firm was non-compliant with AS 1301  Communications with Audit Committees."
Triennially Inspected,6622,"PKF Brisbane Audit",2025,Australia,,22-Dec-2025,Part I.B,5,AS 2101,"In two audits reviewed  the firm did not perform procedures to determine whether all individuals who participated in the audit were in compliance with independence requirements. In these instances  the firm was non-compliant with AS 2101  Audit Planning."
Triennially Inspected,6622,"PKF Brisbane Audit",2025,Australia,,22-Dec-2025,Part I.B,6,AS 2110,"In two of three audits reviewed  the firm did not make all required inquiries of the audit committee and certain members of management about fraud risks. In addition  in both audits  the firm did not inquire of another (separate) member of management about fraud risks. In these instances  the firm was non-compliant with AS 2110  Identifying and Assessing Risks of Material Misstatement."
Triennially Inspected,6622,"PKF Brisbane Audit",2025,Australia,,22-Dec-2025,Part I.B,7,AS 2401,"In the three audits reviewed  the firm  when testing journal entries for evidence of possible material misstatement due to fraud  did not have an appropriate rationale for limiting its testing of entries it identified as having certain fraud risk characteristics to certain entries. In these instances  the firm was non-compliant with AS 2401  Consideration of Fraud in a Financial Statement Audit."
Triennially Inspected,286,"Eide Bailly LLP",2025,United States,,08-Dec-2025,Part I.B,1,AS 1105,"In one of two audits reviewed  the firm  when testing journal entries for evidence of possible material misstatement due to fraud  did not perform sufficient procedures to determine whether the journal entry population from which it made its selections was complete. In this instance  the firm was non-compliant with AS 1105  Audit Evidence."
Triennially Inspected,286,"Eide Bailly LLP",2025,United States,,08-Dec-2025,Part I.B,2,AS 2201,"In one audit reviewed  the firm did not communicate to management  in writing  all control deficiencies identified during the audit. In this instance  the firm was non-compliant with AS 2201  An Audit of Internal Control Over Financial Reporting That Is Integrated with An Audit of Financial Statements."
Triennially Inspected,286,"Eide Bailly LLP",2025,United States,,08-Dec-2025,Part I.B,3,AS 2401,"In one of two audits reviewed  the firm  when testing journal entries for evidence of possible material misstatement due to fraud  did not have an appropriate rationale for limiting its testing of entries it identified as having certain fraud risk characteristics to certain entries. In this instance  the firm was non-compliant with AS 2401  Consideration of Fraud in a Financial Statement Audit."
Triennially Inspected,286,"Eide Bailly LLP",2025,United States,,08-Dec-2025,Part I.B,4,PCAOB Rule 3211,"In one audit  the firm did not file its report on Form AP by the relevant deadline. In this instance  the firm was non-compliant with PCAOB Rule 3211  Auditor Reporting of Certain Audit Participants."
Triennially Inspected,1309,"Kesselman & Kesselman C.P.A.s",2024,Israel,PricewaterhouseCoopers International Limited,08-Dec-2025,Part I.B,1,AS 1301,"In one of four audits reviewed  the firm did not make a required communication to the audit committee in a timely manner related to the name  location  and planned responsibilities of an other accounting firm that performed audit procedures in the audit. In this instance  the firm was non-compliant with AS 1301  Communications with Audit Committees."
Triennially Inspected,1309,"Kesselman & Kesselman C.P.A.s",2024,Israel,PricewaterhouseCoopers International Limited,08-Dec-2025,Part I.B,2,AS 2201,"In one of four audits reviewed  the firm reported in writing to the audit committee that no significant deficiencies were identified during the audit  even though an ICFR audit does not provide assurance that all deficiencies less severe than a material weakness have been identified. In this instance  the firm was non-compliant with AS 2201  An Audit of Internal Control Over Financial Reporting That Is Integrated with An Audit of Financial Statements."
Triennially Inspected,5341,"Manohar Chowdhry & Associates",2025,India,,08-Dec-2025,Part I.B,1,AS 1105,"In one of three audits reviewed  the firm  when testing journal entries for evidence of possible material misstatement due to fraud  did not perform procedures to determine whether the journal entry population from which it made its selections was complete. In this instance  the firm was non-compliant with AS 1105  Audit Evidence."
Triennially Inspected,5341,"Manohar Chowdhry & Associates",2025,India,,08-Dec-2025,Part I.B,2,AS 1215,"In one of three audits reviewed  the firm did not include all of the required information in its engagement completion document. In this instance  the firm was non-compliant with AS 1215  Audit Documentation."
Triennially Inspected,5341,"Manohar Chowdhry & Associates",2025,India,,08-Dec-2025,Part I.B,3,AS 1301,"In two of three audits reviewed  the firm did not provide a copy of the management representation letter to the audit committee. In these instances  the firm was non-compliant with AS 1301  Communications with Audit Committees  and AS 2805  Management Representations."
Triennially Inspected,5341,"Manohar Chowdhry & Associates",2025,India,,08-Dec-2025,Part I.B,3,AS 2805,"In two of three audits reviewed  the firm did not provide a copy of the management representation letter to the audit committee. In these instances  the firm was non-compliant with AS 1301  Communications with Audit Committees  and AS 2805  Management Representations."
Triennially Inspected,5341,"Manohar Chowdhry & Associates",2025,India,,08-Dec-2025,Part I.B,4,AS 2110,"In the three audits reviewed  the firm did not (1) hold a discussion among the key engagement team members about the potential for material misstatement due to fraud and (2) inquire of the audit committee  management  the internal audit function  and/or others within the company about the risks of material misstatement  including fraud risks. In these instances  the firm was non-compliant with AS 2110  Identifying and Assessing Risks of Material Misstatement."
Triennially Inspected,5341,"Manohar Chowdhry & Associates",2025,India,,08-Dec-2025,Part I.B,5,AS 2110,"In one of three audits reviewed  the firm did not identify a fraud risk related to the risk of management override of controls. In this instance  the firm was non-compliant with AS 2110  Identifying and Assessing Risks of Material Misstatement."
